dia,ano_referencia,mes_referencia,num_revisao,nom_semanaoperativa,cod_modelos,id_subsistema,nom_subsistema,nom_usina,val_cvu
2024-01-02,2024,1,0,PMO Janeiro 2024,21,N,NORTE,MARANHAO V,22.896
2024-01-03,2024,1,0,PMO Janeiro 2024,21,N,NORTE,MARANHAO V,22.896
2024-01-04,2024,1,0,PMO Janeiro 2024,21,N,NORTE,MARANHAO V,22.896
2024-01-05,2024,1,0,PMO Janeiro 2024,21,N,NORTE,MARANHAO V,22.896
2023-12-30,2024,1,0,PMO Janeiro 2024,36,N,NORTE,MARANHAOIV,22.896
2023-12-31,2024,1,0,PMO Janeiro 2024,36,N,NORTE,MARANHAOIV,22.896
2024-01-01,2024,1,0,PMO Janeiro 2024,36,N,NORTE,MARANHAOIV,22.896
2024-01-02,2024,1,0,PMO Janeiro 2024,36,N,NORTE,MARANHAOIV,22.896
2024-01-03,2024,1,0,PMO Janeiro 2024,36,N,NORTE,MARANHAOIV,22.896
2024-01-04,2024,1,0,PMO Janeiro 2024,36,N,NORTE,MARANHAOIV,22.896
2024-01-05,2024,1,0,PMO Janeiro 2024,36,N,NORTE,MARANHAOIV,22.896
2023-12-30,2024,1,0,PMO Janeiro 2024,239,N,NORTE,PARNAIBA_V,28.106
2023-12-31,2024,1,0,PMO Janeiro 2024,239,N,NORTE,PARNAIBA_V,28.106
2024-01-01,2024,1,0,PMO Janeiro 2024,239,N,NORTE,PARNAIBA_V,28.106
2024-01-02,2024,1,0,PMO Janeiro 2024,239,N,NORTE,PARNAIBA_V,28.106
2024-01-03,2024,1,0,PMO Janeiro 2024,239,N,NORTE,PARNAIBA_V,28.106
2024-01-04,2024,1,0,PMO Janeiro 2024,239,N,NORTE,PARNAIBA_V,28.106
2024-01-05,2024,1,0,PMO Janeiro 2024,239,N,NORTE,PARNAIBA_V,28.106
2023-12-30,2024,1,0,PMO Janeiro 2024,46,N,NORTE,N.VENECIA2,40.983
2023-12-31,2024,1,0,PMO Janeiro 2024,46,N,NORTE,N.VENECIA2,40.983
2024-01-01,2024,1,0,PMO Janeiro 2024,46,N,NORTE,N.VENECIA2,40.983
2024-01-02,2024,1,0,PMO Janeiro 2024,46,N,NORTE,N.VENECIA2,40.983
2024-01-03,2024,1,0,PMO Janeiro 2024,46,N,NORTE,N.VENECIA2,40.983
2024-01-04,2024,1,0,PMO Janeiro 2024,46,N,NORTE,N.VENECIA2,40.983
2024-01-05,2024,1,0,PMO Janeiro 2024,46,N,NORTE,N.VENECIA2,40.983
2023-12-30,2024,1,0,PMO Janeiro 2024,176,N,NORTE,P. ITAQUI,49.24
2023-12-31,2024,1,0,PMO Janeiro 2024,176,N,NORTE,P. ITAQUI,49.24
2024-01-01,2024,1,0,PMO Janeiro 2024,176,N,NORTE,P. ITAQUI,49.24
2024-01-02,2024,1,0,PMO Janeiro 2024,176,N,NORTE,P. ITAQUI,49.24
2024-01-03,2024,1,0,PMO Janeiro 2024,176,N,NORTE,P. ITAQUI,49.24
2024-01-04,2024,1,0,PMO Janeiro 2024,176,N,NORTE,P. ITAQUI,49.24
2024-01-05,2024,1,0,PMO Janeiro 2024,176,N,NORTE,P. ITAQUI,49.24
2023-12-30,2024,1,0,PMO Janeiro 2024,73,N,NORTE,GERAMAR1,145.771
2023-12-31,2024,1,0,PMO Janeiro 2024,73,N,NORTE,GERAMAR1,145.771
2024-01-01,2024,1,0,PMO Janeiro 2024,73,N,NORTE,GERAMAR1,145.771
2024-01-02,2024,1,0,PMO Janeiro 2024,73,N,NORTE,GERAMAR1,145.771
2024-01-03,2024,1,0,PMO Janeiro 2024,73,N,NORTE,GERAMAR1,145.771
2024-01-04,2024,1,0,PMO Janeiro 2024,73,N,NORTE,GERAMAR1,145.771
2024-01-05,2024,1,0,PMO Janeiro 2024,73,N,NORTE,GERAMAR1,145.771
2023-12-30,2024,1,0,PMO Janeiro 2024,70,N,NORTE,GERAMAR2,145.771
2023-12-31,2024,1,0,PMO Janeiro 2024,70,N,NORTE,GERAMAR2,145.771
2024-01-01,2024,1,0,PMO Janeiro 2024,70,N,NORTE,GERAMAR2,145.771
2024-01-02,2024,1,0,PMO Janeiro 2024,70,N,NORTE,GERAMAR2,145.771
2024-01-03,2024,1,0,PMO Janeiro 2024,70,N,NORTE,GERAMAR2,145.771
2024-01-04,2024,1,0,PMO Janeiro 2024,70,N,NORTE,GERAMAR2,145.771
2024-01-05,2024,1,0,PMO Janeiro 2024,70,N,NORTE,GERAMAR2,145.771
2023-12-30,2024,1,0,PMO Janeiro 2024,106,NE,NORDESTE,ERB CANDEI,15.493
2023-12-31,2024,1,0,PMO Janeiro 2024,106,NE,NORDESTE,ERB CANDEI,15.493
2024-01-01,2024,1,0,PMO Janeiro 2024,106,NE,NORDESTE,ERB CANDEI,15.493
2024-01-02,2024,1,0,PMO Janeiro 2024,106,NE,NORDESTE,ERB CANDEI,15.493
2024-01-03,2024,1,0,PMO Janeiro 2024,106,NE,NORDESTE,ERB CANDEI,15.493
2024-01-04,2024,1,0,PMO Janeiro 2024,106,NE,NORDESTE,ERB CANDEI,15.493
2024-01-05,2024,1,0,PMO Janeiro 2024,106,NE,NORDESTE,ERB CANDEI,15.493
2023-12-30,2024,1,0,PMO Janeiro 2024,147,NE,NORDESTE,PROSPERIDA,29.221
2023-12-31,2024,1,0,PMO Janeiro 2024,147,NE,NORDESTE,PROSPERIDA,29.221
2024-01-01,2024,1,0,PMO Janeiro 2024,147,NE,NORDESTE,PROSPERIDA,29.221
2024-01-02,2024,1,0,PMO Janeiro 2024,147,NE,NORDESTE,PROSPERIDA,29.221
