dia;dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_modelos;id_subsistema;nom_subsistema;nom_usina;val_cvu
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;212;N;NORTE;MARANHAO3;15.124
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;212;N;NORTE;MARANHAO3;15.124
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;212;N;NORTE;MARANHAO3;15.124
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;212;N;NORTE;MARANHAO3;15.124
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;212;N;NORTE;MARANHAO3;15.124
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;212;N;NORTE;MARANHAO3;15.124
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;116;N;NORTE;PARNAIB_IV;21.67
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;116;N;NORTE;PARNAIB_IV;21.67
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;116;N;NORTE;PARNAIB_IV;21.67
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;116;N;NORTE;PARNAIB_IV;21.67
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;116;N;NORTE;PARNAIB_IV;21.67
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;116;N;NORTE;PARNAIB_IV;21.67
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;116;N;NORTE;PARNAIB_IV;21.67
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;21;N;NORTE;MARANHAO V;22.896
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;21;N;NORTE;MARANHAO V;22.896
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;21;N;NORTE;MARANHAO V;22.896
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;21;N;NORTE;MARANHAO V;22.896
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;21;N;NORTE;MARANHAO V;22.896
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;21;N;NORTE;MARANHAO V;22.896
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;21;N;NORTE;MARANHAO V;22.896
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;36;N;NORTE;MARANHAOIV;22.896
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;36;N;NORTE;MARANHAOIV;22.896
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;36;N;NORTE;MARANHAOIV;22.896
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;36;N;NORTE;MARANHAOIV;22.896
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;36;N;NORTE;MARANHAOIV;22.896
